,train,val,test
0,23_36903_G1,35552_23_C1,34948_23_F2
1,23_28700_C2,I2023-38803 H1_BIG,23_20436_B9
2,I2023_31702_A1,I22-22098 D1_BIG,I2018-3135 A1_BIG
3,50763_22_F1,I2019-40688 A2_BIG,I2014-20103 A2_BIG
4,18870_23_C3,I2012-11127 C3_BIG,I2019-7023 B1_BIG
5,27943_23_C1,I2023-39277 C3_BIG,I2016- 3236 A1_BIG
6,16900_23_B1,I2018-28331 B3_BIG,I2018-15104 D1_BIG
7,I2015_257_A2,I2011-20445 B1_BIG,I2011-16579 F4_BIG
8,I2023-40007 D1_BIG,I2013-014860 A1_BIG,I2014-029466 C1_BIG
9,I2023-044837 D1_BIG,I2014-26499 A2_BIG,I2023-34665 A4_BIG
10,I2023-040653 B8_BIG,I2014-26499 A1_BIG,I2011-028554 A4
11,I2022-53240 F4_BIG,I2016-22476 C2_BIG,I2017-037195 A1_BIG
12,I2022-56686 A4_BIG,I2018-25600 A1_BIG,56852_22_A3
13,I2022-51974 A1_BIG,I22-18170 A1,I2014-18419 D1_BIG
14,I2022-52016 C1_BIG,15106_23_C2,I10-19590 A2_BIG
15,I2022-55771 D1_BIG,I22-16415 A1_BIG,I2022-49536 B1_BIG
16,I2022-50022 B1_BIG,I2018-009254 B1_BIG,I2012-125 D1_BIG
17,I2022-49218 B1_BIG,I2011-006260 B4_BIG,18-46819 D1
18,I2022-50586 B2_BIG,I2016- 9556 B2_BIG,I2011-024740 A4_BIG
19,19-33629 D1_BIG,I2013-004761 A1_BIG,I22-17786 A1_BIG
20,I2011-019459 A1_BIG,I2010-022883 E3_BIG,I2016- 22638 A1_BIG
21,I2020-024901 C2_BIG,I2023-051400 C9_BIG,
22,I2011-015813 B3_BIG,,
23,I2018-034898 A2_BIG,,
24,I2014-019183 A2,,
25,I2013-006211 A3_BIG,,
26,I2013-029933 B1_BIG,,
27,I2010-011171 C2,,
28,I2014-006586 A2_BIG,,
29,I2012-027753 A3_BIG,,
30,I2010-017133 A2_BIG,,
31,I2010-017328 D1_BIG,,
32,I2023-053817 D1_BIG,,
33,I2023-052712 D2_BIG,,
34,I2023-051645 C2_BIG,,
35,I2016-21480 A1_BIG,,
36,I2023-049201 D1_BIG,,
37,I2013-000098 A2,,
38,I2014-001217 A2_BIG,,
39,I2014-014193 A3,,
40,I2012-007316 A3_BIG (2),,
41,I2012-007316 A3_BIG,,
42,18-30793 C2_BIG,,
43,I2019-24702 A3_BIG,,
44,I2012-20457  A2_BIG,,
45,I2012-20178 D2_BIG,,
46,I2014-13623 A2_BIG,,
47,I2013-002658 B2_BIG,,
48,I2012-28273 C8_BIG,,
49,I2013-4340 B2_BIG,,
50,I2011-25031 B4_BIG,,
51,I2011-22466 F2_BIG,,
52,I2014-28629 A2_BIG,,
53,I2016-28476 A3_BIG,,
54,I2016-27964 B2_BIG,,
55,I2017-001053 A2_BIG,,
56,I2016-024178 H4_BIG,,
57,I2012-15415 B3_BIG,,
58,I2010-17784 C2_BIG,,
59,I2010-15656 C3_BIG,,
60,I2010-13785 E1_BIG,,
61,I2019-26123 B2_BIG,,
62,I2014-025565 A1_BIG,,
63,I19-11329 A4_BIG,,
64,I2016-18263  B2_BIG,,
65,I2015-020538 B2_BIG,,
66,I2018-1686 A1_BIG,,
67,I2013-30336 B2_BIG,,
68,I2013-27657 D1_BIG,,
69,I2013-27657 D2_BIG,,
70,I2012-266869 E1_BIG,,
